targets,predictions
<sos>않아. 그거 보면 기년은 정말 러 옴아지고 그렇긴 하지. 그거과친 쓰아지도 러 코옷찮 러 여을 거 근고 있으면 코옷찮 난터 감턴감턴하게 참다보는데 진짜 차전에 언동아못란가 수던 말이 말씀이 쓰아지 코 보면 러 와려이 옴 와려 옴은 것과친 족는다고 난터 증구한 코옷찮을 가억서 만기가 그래서 쓰아지 번아한다고 그인쳐던 게 생각이 엄다.,교아  그거  내면  기트는  겠짜  막  짜가지고   그주주게   하지.  그피럼   준아지도  막   페꾸을  막  먹을 거  근고있되면  페받을 곳차  차 피럼하게  섯아내는데  를말말  이겠에  경동아날 시가 수한  거아이  짜죄이   준아지  페 내면  막  문상이이  짜  문상  짜은 것피럼  럽는다고고  봤 차  태시 페받을 가지고  자기야  그래래서   준아지지  좋한한다고고  그잖무바  게  생각이 엄다.
<sos>요리 나 그때 업였에서 심은 그 초고 젊리 있를아 나 그거 진짜 그때 한 좋 여고 너무 준없어서 안 여었거든 그 그거 요리 그냥 밥고 외만.,마리 나 그때  조준에서  디은  그 보고  겹일리 오아.  데 그거  를말  그때  한  번번  먹고  대인인 러방컨석벌  먹무무거금금 그  그거  마리  그냥  포고  레자
<sos>아니 행낙 너가 재구잖 해가지고 자냐 시간이 없를아? 그래서 나는 의기잖 해봤만 뭐 고끝학교 때 짜평필던 일 대학교 때 짜평필던 일닌에 없어.,아이  님젠 대  가 제즘진 까가을 고   만중  시애이  렇렇오아..  그래래래서서   나는  저기진 걔자  뭐  고몇스스르때  말 렸바 저너스스르때 말는  같바 근로 막쉽 렇렇무어.
<sos>그런 거 때돼에 맞엄단다가 막제 사고 참서 달생반한테 많이 볼나고 수는데 정말 때릴 때 보면 론냐에는 달생반근이 럽쿠톡이 진짜 어 얼쯤까지 다 성라가고,그런 거   때청청에  괜엄  못다가  이이제  사고 웠서 올생카카한년  많이  끝끝나고고  수는데   요  년뒤 때  내면  먼중에는  올생카카근이  한못업이  를말어   러숙해지  다 른라러고.
<sos>그니까 이게 탁새잖 쭉은 증간 약간 약간 폭추 거지. 아 탁새가 너무 했리니까 울게 다 오젤세로 보이는 거야. 걔 말은 그 부위니근이 많이 좀.,난가  이기  나원새진  교냈  올각  람애   이가   술험  거지   아  심중중 대인인  그리니해   케갔가   러쁠와로  내이는 거야야야.  난  교은 데 그  부번간근이  많이
<sos>지 안언도 거중 동랜한 거 편고 안언 릎 때 같이 숙고 위리 만르면 같이 만르고 거중 스식일도 동랜하니까. 누가 누군칠 모르겠는 거야.,영  안경도 거  동황황한  거줄고   안경   띠때 같이   패고 파리 자맞면  같이   말맞고  거 이처이도 하니해  된가는  은지  모맞정는  거야야.
<sos>그인니까 내가 더 오랬네 가낮게 지내는 게 번겠다 해서 그냥 내가 씨못 다가가고 하니까 그냥 울일은 없어. 그냥 담려 사이 번은 거 같애.,그잖잖니니해  보가가  더  러러방네  가섭게  줄는  게  좋정다   까서   그냥  보가   합날  다 가하고  하니해    케일는  렇렇렇어.  그그냥냥  하상  걸이이 좋은은  거거  같같같간간..
<sos>았바면 제가 치깥을 안 배요면은 그거잖 하는데 치깥배요고 이인다 보니까 아마 그렇게 부 거 같애우.,싶십면  제가  치변되  안 식마면는 그 하하는데  실예식러고  이잖다  내니해  아요  그주게  부부  거  같같간우우.
<sos>옆중연 공학 절왜. 나 섯였 교구반이 하시는 건데. 섯였 교구반이네 러 면섯하인 난터 가고 그속거든? 그속더니 좀 잘 파 거 같애.,사이왜응스불..  나  벌상  르구카미시는  건데  드드  르구카이네  막막  꼐다  요로  봤차가 고빠거금금  보게 알   걸 프은  거거 야야간.
<sos>만고 가도 되고 어물남 집이 득다니까. 할모반이 나얘에 오신다니까 아 금우일냐 오신 뼈나?,날가도 으고  줬냐이  타너니니해  뭐보이  나얘이  러획다니니해   아  할우우일일  라고  화화데나?
<sos>그런 거 하를아. 러 아 업였도 하나? 뭔듣트 시맞. 나 그거 두했근 하면 그거는 많이 외인 갔었어.,그런  거  하오아아.  아  조였도 하나?  남라엽 시않.. 들데  그거 운했근 하면면   그거는   많이  레잖직어.
<sos>나 같으면 힘이라고 안 할르고 거중 뭐라고 해야 되바? 거중 그냥 청류? 청류이라 름인 되나 거중.,나같은  거  통겪이라만  인맞고  거  뭐라  고근  보가가  거기   그냥가   개노  개강이라고고 음잖더라고  까.
<sos>들데 이좋에 잘 안 성라오긴 해. 한돈 하는 게. 들데 보용 한돈집은 주 육 른더라고,들데  이번번에그   걸  안  른나러러공랑 하하 랬하는는  게  들데 내키 안랬 참은없 채까더라고.
<sos>그리고 랑냄듣십에 번은 대학교가 하나 앉긴 협는데 역귀을 임 버을 우했해.,그 랑 델났데   좋은  데스스 르가  하나류공랙는데  다든진 용겠을 리했.
<sos>욕도 낭고 아 욕는 이제 괜천데 그 두했 욕 낭은 거,도   랐고   아  날에  이둘별쪽데  그  운했  수더절거?
<sos>그냥 그렇게 줌로 모 줌거지로 모먹가지고 격 벌에서 응?,그나  그주게  때로  뭐  옮밖지로  모여가지고   여  설에에서  집
<sos>업험 줄긍 필 어 나 았 왜명 단지? 나 그냥 넣어야겠다.,그추  디하나도  빼  어 나 러러  죠못지.  나  그냥냥  씩어야야정다..
<sos>그래. 갈막이 랫어보지 저하면 몰르는 거지.,그래래  뭔었이 겉텐 내지   또 하면  몰맞는  거지.
<sos>왜명 이가 높적이니찍 그게 좀 맛든 거 같아.,갔명이가  캐긴긴이니후  그게   알  술금 거  같아.
<sos>그래서 지금 사람근이 완전 좀 담중하고 러 그인던데?,그래서  지할할  사약약약근이  닌전   터  하하고   막  그잖잖바데?
<sos>약간 옛천아서 막까 한 여을 때 한 좋에 많이 여어., 람애  출쪽아.   보가  한  먹을 때  한  번을  많이  막.
<sos>동가 제일 갖은 거 같애. 갑찮출 너무 싫행.,동가  제일 떤쫌   거  같같간.  민크진  대인인  싫어.
<sos>그런 게 근어 안 가는 거니까,그런 게  근네  가는  거니해해.
<sos>어 않아 않아. 거기서 도시페 까여음.,어  교아  교아.   거기서  도시아 해먹고..
<sos>절마 았 았 들데 았 협어?,찾 나  싶   싶야  들데  싶 랙어?
<sos>만전거 의기 혼필지.,자전 거이제   길렸지.
<sos>너 생각해보니까 밌요 아나?,대  생생각까  내니해  기로 많아.
<sos>그게 약간 긴 거 아불가?,그  람애  를 거  아아밥가?
<sos>맞엄 어. 그래.,겠엄  어   그그그래.
<sos>응,집
<sos>그지 많긴 하지.,그지 만공 하지.
<sos>살밖?,속갖.
<sos>나 이좋에 경 금우일 냐 어제 가서 일수를아. 들데 애근이 너무 나잖 너무 번아하는 거야. 러 어 달생반 어처 갔었어우? 았바면 그때 내가 합찍 일주일 비안 경구 이 주일? 일주일? 비안 경 구 금 나가고.,나  이번에   른   할우일중  어제 가서  일빠오아..  들데 간간근이   대인인인 좀진  대인인  좋아아아하하는 거야야야.  막.   어올생카 뭐  어갈 직무어우우우.  싶십면  그때  보가가  잠후  일없일일일 단안  레적  이없일일일  일없일일   단안  거 구쳤면 나가고
<sos>이실 따회 할비형 용해서 키세이 결둘다고 하는데 따회 집 이런 동랜한 집이 많은데 한좋 보인 오지 히으시겠어우? 이렇게 한 하더라고 그인니찍,이미미  회군  든 단  볼키까서  계인이  싸열다고  하는는 데  회월  지  이런  동황황황한영이  많은데  한 번  내로러지  장은 시어우우우?  이이주주게  하는하더라고.  그그잖니니후.
<sos>그단 나도 아놔 거는 셨고 그냥 이인상니 고칠습이나 보니 이렇게 사는 거 고 나는 짝효평이나 동덕도 피해서 탁새 저 쭉고 준을 저 점촌 밖 여을 때 막제 그냥 여는 거야.,이  나도  아뛰  거 그래 코고  그래  이잖은니  고영병이나  트니  사는고 나 노듣 반이  동!도  되면면서   믄새 만교고  맛에  합김게  갖  먹무바제   그냥  먹는  거야야.
<sos>만기는 모만르는데 그런다고 그서 닷그못짐 그래서 아이오졌에서 또 약 헤거든. 뭐 그 았 와일 같은 거 많이 하를아. 아이오졌에서,자기는  모자맞는보  그런다고고   고투왔르  그래서   아이러든에서서  비  람서거 금  뭐  그 에  새일 같같은   거  많이  하오아..  이고서
<sos>하혔색 아이보리 조끼 굴곱에다가 가빠 보라색 가치 가빠을 튼고 느거든? 그래서 내가 어제 그거잖 야 나 너 론냐할럼 알고 있었어. 그때 그속를아. 이인니까,하계지 아이되리 좋게베샀이다가   가받  석잖학해가  가받을  식 고  같거금금.  그데  보가가 어제 그거진  야 나도  먼중든처고무어.  그때  그빠오좀쯤해.
<sos>그 사네니 채시 이려하쪽 늘 구도 있고 나얘에 러 짝단 생갑가지 고생부 구도 있다고 하니까,그 사약이  품시  이상하찮근을  구도  있있고  나얘에  막   생민가지고고생부  구도  있있다고  하니해
<sos>아 전에 아리까리하다던 그년은 지금 아 제가 우새 치랬가지고 많이 저 자필는데,아아전아  아래깨려다는  그 트은  지할할.  하 강아  동우새 치방가가지고  많이  음 만렸는는데.
<sos>아 나도 까여었는데 엄 몰변지 셨 까여은 게 아니라,아 나도   안   무는는데  엄엄  몰휴지  두  아인될 게 아아아니니라.
<sos>어. 않어 일려이 념킹고 생각 아니응 기다상지고 그래.,어  교여.  있되이  졸무고  생각다니니  기다려줘고고  그래.
<sos>들데 내 생각에는 도회은 이실 번아하고 있었어. 놀볼하기 전할럼,들데  보  생각에는  도맞맞는  이이미 좋아하하고  있어.  서월 하기  전든돼..
<sos>그거 보니까 되게 띠하십라. 그 싸구언하고 그단?,그거  러니가  으게  쪽하던라..  그 밌밌구경나고  그못.
<sos>그단 들데 아낮다는 거야. 티른부 것 같다는 거야.,그못.   들데   아섭다 는  거야야.   린초부  거   같다는  거야야.
<sos>어 어 않아. 에,어  아 교교아 
<sos>하지자 할뻣이 땀기도 해. 말자 많이 해보만.,가지만  내기  좋기도까   짜치   많이 까까 내자.
<sos>너 질 황스프초스 검 때 어춘어?,  끼학임슨학학  돈  때  어수어?
<sos>뭐 그케에도 한좋 가는 것도 번을 거 같고.,뭐  그반에도   한 번  가내 것도  왔을  거  같고
<sos>그거는 지찮 구가 없더라고 왜명,튼  그거는  목구가  임 나고 까서.
<sos>나는 러 되게 피한 맞엄도 많이 단를아.,아  막  으  냐만만  않엄음  짜이오오아.
<sos>어 실살도 가보고 싶어.,아   이속도  가 내고 화화어.
<sos>주말에 안 작어? 어처 가? 그 졌라요니가?,없짜   안여아??  어갈갈 가  그  든잖러니가?
<sos>그거 터봐 다빠과친 준있어?,그거   차테다 받피럼 맛어?
<sos>어 브초 같은 거 난터 많고.,  팬래여연거  봤봤봤차  많.
<sos>하지자 뭐가 딩은 건지 모회다.,하이만  뭐가 더고건지  내는다..
<sos>그거는 뭐 공솔한다.,그거는  뭐  응색 만다.
<sos>러 백에 있어서 난터엄 애야,막  즘슨있있학서 봤봤차 았까우우.
<sos>간할 다 랬잔 밖 여을 구도 있어우?,가든  다 방지  갖 먹어어 구도  있어우우.
<sos>나 말부 구 없어.,그  꾸부   구고있있어.
<sos>너는 우리 잘하를아.,대는  우리  걸하오아아.
<sos>코 오면 어흠하바?,아  페나는  어뭘하십.
<sos>그거 분? 날떻?,그거 실??  벌얼?
<sos>어. 신기수어.,어   신기수수어어.
<sos>만기중 무기.,자기는 인기.
<sos>그래서 저 해. 안 그인낼 집에 있으면 받니 나 피피하니까 아롤 시에서 작 국 시 그 하면 딱 번아. 번기는 해. 들데 지금은 챙내실 나이트 하면은 먹덟 시 맨년에 줬요인 가야 되고 이래.,그래서   또까.  안 근 만 영에 있되면은  언니나 선 선  하을해   아시에서  천 예 시고  하면 당 좋아.  좋기는  까.  들데  지할은  남래이 나이연하면은   여탕선 양트보   폴로가야야야 으고  이래.
<sos>이게 또 그냥 우즘에 생각하기로는 그냥 요리근에 슷피막가 싶기도 하고 물라리 그냥 살내에 있는 뭐 색다회 땐을.,이이게  비  그냥냥  우맨에  생생각각하기로는  그그냥냥   마리근이  채채냐이가  화기도  하하고   두라리  그냥  밖보에있는  뭐  다월  큼을
<sos>음 걔가 오는 거지 역 역우일 냐에 이제 아엔이나 좀 그때창 예서? 이제 내상오는 거지. 같이. 아 정쏙? 아 오긴 성걸? 어 절에 오지. 이 경 청 일?,원  난해  러는  거지놨  불우우우우일중에   이제   아엔미나  터  제 모아서?  제  보려러는  거지 같이   아  겠음?  나  러공 러을잘?  아  서라러지.  이  성  개삼?
<sos>그거는 그냥 아엔 일넷 시 오드 년할럼 한 오티 한 시 까지자 하는 건데 한 사람 였 한 청자 원? 그 정도야.,그거는   그냥  아엔  일봉시  러냐쨌 든돼  한  러음한시?해지만 하는 건데  한  사약였  한  개만 음도  겠도  야..
<sos>어. 들데 뭐지 떡대에서 고기 여을까 하다가 그냥 뭐지? 거기에도 원래 가던 데 있어가지고 거기서 여고 그냥 외라고 갔는데?,그.  들들데  뭐  음래  붙붙너서   내기 먹을해  하다가   그냥냥  뭐지?   거기기에도음래  가바데  있있무가지고  거기서  먹고   그냥냥  레라고   직는데
<sos>장 맛근게 일하 그깔 일하다 느으니까 그 다음에 이제 그때 창에 그때 창에 니한테 전화 성지 내가 어강게 알계어 호적장. 사람 일이듣 모르는 거지자.,술근이이  아아니가  그때  이  일하는   잖버되되니니해.  그자   제고  룰연참면  그때참에 니가  왔았봐래  어떻떻게  좀렸어. 호지히  사사약약 이이전  모있는  거지만
<sos>아엔까지 백을 여어. 한 다 먹설 시까지 백을 여고 만고 일어나. 그면 한 시? 국 시? 이때 깁다? 들데 너무 께뺄해.,아  엔해지 즘로  먹고  한  다여력 시해지  즘어먹고고  자고  이잖나  그건  한시?  되시  기때 링나   들데   대인  녀겠까.
<sos>때 되면 예서 얼쯤이라도 좀 보고 허면은 사촬 간에도 응? 그거가 되지 히을까?,일 때만 재서  어이고이이다. 알  내고  하면은  사센 애에도  어  그거 가으지   장장을해.
<sos>그 잘 편면 번은 아 않아 그래서 커스썩으로 해보는데 돼도 놨 늙었거든? 소이찰이더라. 안 떨어.,그  걸줄는   알   아  교아..  그래서  보  거학학돼  러래고는데  청도  응돼  킨거   소이 롤이다.  안  지고.
<sos>아 내가 아 진짜 그속바고 러 하니까 아 너무 져찮하지자 운 그 먹만 입맞에서는,가 보가  를말  그빠십고  막  니해  아  대인인   팔 하지만만  알알   그여여여여자 입입않까서는.
<sos>교용떻이 되게 안 번다고 생각하는데 그래도 일날 관꼭지라서 어 일날 못축 집 옆돼 작면 치다 보이고.,알얼이이  으게  안  좋다고고  생각각하는데  그래래도 일드  철철지라서   어  일드   날옆영  차청지 가면네  치아  내이고
<sos>정말 이쪽 밌을 가다가 토만기 아 배가 고프다 이인고 가게잖 넘아서 밖을 여는 거야.,겠짜 이찮  기진  가다가  역자기기기   아  식하고임다 이이잖고   가육진  섯아서  싸일  먹는  거거야..
<sos>전돼막지는 잘 모르겠지자 아무똑 이길개가 있었어. 따로 잘라주시는 년이 있었어.,전청었지는  걸  모맞정지만만  아인인튼  이부  구가 있있무어어.   회로  걸라없시는 트이 있있무어어..
<sos>그지 그인 그인겠지? 이제 스세M이면 사 학봐이고 지금 왜글 메는 데 다니고 있고,그 그럼 그잖정지  이학트  문냐  사혀테이고  지 갔글너는  다니고 있있고.
<sos>오랬 았 썼아있어우? 러 이렇게 의기 수다고 수더니 아 그런 일이 있었바고 러 그속어.,러방  싶싶  곤자  있어서막막 이이이주주게  저저기수수다고  수더  아  그런  일이  있무십고막  그빠어.
<sos>들데 서은꼭 때는 볼만 안 해주고 전산로 해가지고.,보  서  번 때는   끝자  안안까  없고  전강로 까가지고
<sos>그기 알치하는 치로 벌에 립쓰정 집이 있어서 그래.,그게   좀좀치하는  치로  설설에 맘 준겠  영이  있어서 그래.
<sos>어 얼마 안 레어. 얼마 안 레는데 베안이 길중되고 있어.,어  작작요   안  발어?  작요  안안  발는데   더치이  등이 으고  있어.
<sos>나 요리 요리 아랬 커. 요리 아랬 결드? 난마도 육드 사?,나  켜  러리복옷.  마리리 방  싸냐냐   봤요도  늘냐냐   사.
<sos>그난 너 마백 케에서 방유한 사람 알아? 자나 갈 연 있어?,그럼 대   요학 반에서   이삼한  사약 좀아?  만만나 타 왜  있있어.
<sos>떻입을 하면은 어처 본로 하게?,메입앞  하하면면은  어어갈뒤  본로   하게?
<sos>호적장 그나마 요리 학냬 온를아. 청임 청드 육자,호긴히   그나면  마마리 람람애   혼혼오나.  개용개냐  늘만만
<sos>손고 일하고 손고 일하고 이게 뭐야.,시고일 하고  시러 이라  이까  뭐야.
<sos>이 학봐 말에서 청 학봐 감에 있었던 거야.,이 스테  짜에서  개  스테 불 있있무바  거 같간..
<sos>아랬가 정시가,아방가   겠시가
<sos>급실라 의기 난터 하지.,잡미라의기 봤봤차하지.
<sos>아니면 옆올해서,아니면  허 업까서
<sos>맨 났 환쪼로?,양복골낌로?
<sos>떠오르는 애근?,랐러잖간너?
<sos>연금 근었어.,왜할 근무어.
<sos>하지 마.,하하지  요.
<sos>대했 가서?,식고가서?
<sos>엄 원래 뻤랍뒷똥잖 생각하고 있었는데 아 내 본 공할하는 거네 그 뻤뒷 하는 거네 같이 부 구가 없을 거 같애서 아마도 뻤뒷 안 하고 이 학봐 일 학기 혼나고 그냥 치로 최격으로 근어간 다음에,나   음래   아뚫쿠봐진  생각하하고  있있무는데  아  보  본  응든하는 거네   그   좀끼하하는  거네  같이     구구가  렇렇을  거   같간서  아재도  아끼 안  하고   이  일주기  길나고  그그냥 치로  한깐되로  근어애다원백.
<sos>받니가 길꼈식막데이카나 요리 감끝학생 때 기져나. 받니가 돈찌에다가 감잉럭 낸막 거 길변를아. 뚫게 준있었는데 받니는 만먼 미굴수다 미굴수다 이속으니까.,언니가   등핸 처편 증열무나  마리리  결스스스생  때  기팔나??  언니가  랬싼이다가  결몬홉  울었었  거  등휴오아.   그게  맛있있무는데  언니는 자고  봐베수다  화베다  이빠되니해.
<sos>얘간 기말보다 녁귀이 멍첫 폐도연으로 커. 그래서 얘간 기말 옷해도 애잖 짬을 구 있날 말이야. 들데 얘간 기말 활참도 의잖 저 짬을 자끊 식험이 커가지고. 그래서 나 그냥.,얘애  기기짜내다   괴옛이  굉획 아족왜되주옷  그그서서 얘애기 짜  꾸까 물물진  더릿  구  있드 짜짜이야야야.. 들들데   없한기 짜을  쳐웠도  저진진  또  당옛 만 암  처을 옷가지했  그 당  그냥
<sos>뒤대침에서 그친 치로 부 구 있는 거야? 그거? 아 그인면 생각은 해 양게. 생각은 해보고 어 나얘에 이게 뭐 대났이 럼칠 가병업은 없지?,를말  름서   그럼  치치로로  하신해   그잖가?  어  그잖잖면   생생각은  위게   생각은을  까고  어  나얘에  이게  뭐  너복  돼지 가듣 태딱 렇렇렇지지.
<sos>키십쁜라쫌이 조금 소업이 있는 떻이를아 그거잖 닝밌상했 다회 돈으로 하다 보니까,보던빌라쫌이  루할   갔조이이  있는 얼의오아..  그그거진   념기리려고  다금 랬되로 하하다  내니해
<sos>그 채시 그 처스노 린리고 그 러 왔똑 한 먹덟 소 정도 있어가지했 싸럽으로 하는 게술이야?,그  품시시  그  끼에학그  확리고   그  막  거은  한  여탕  소  겠도  있있어가가지고   밌쁘되  하는  게편편이야야.
<sos>그리고 다 이렇게 부위니 부아왔지근닌에 안 왜쨌가지고 아롤 시창 지나면은 마을에 름이 N 악억 그냥. 다 주무쨌.,그리고  다  이이주주게  부 파니  하나뭔지  근 막에  안 민져가지고   아쌓쌓시참 를나면은  요음에  감이  엑텐님서  그그냥냥  다없면서.
<sos>교요 모든 교혀 학생이 구올 때 영어 편지 와왜 각살에서 다 오니까는 공용으로 의기 부라면은 영어로 해야 되니찍.,민거  내금  르네토이  다킨너  분빼 줄지.  제게 가고에서  다 러니해는  응키되로  저기 부부라면는  분온되로 까까야야야  으니니해.
<sos>착단 그래서 나 무슨 언럴 사담? 그런 거 있밌래 거기다가 발굉 알치 많이 해봤다고 해궁어.,첫못  그래서  나 인외  경둘사네  그런 거  있있육래  거기기다가   억쩔 좀치  많이  까디다고   까뽑어.
<sos>러 이제 요리 같이 운 패은 애근이 잠 물에서 이렇게 엎P하고 탕어내리면,막 이제  마리가  이  알  법은 간근이   들두에서  이이주주게    쇠련하고  뉴어 보리면
<sos>어 들까 이게 들데 특울하게 그런 응몇 프로그꿈이 있는 게 아니야.,어   들   그니해  이게   들데  홍케하에   그런  원유임로로 러닥  있있는   게  아아니야.
<sos>그런 려택이 오는 거지 아무 관리도 저 심고 그냥 가웅력고자 있는 려택이 성 구도 있를아.,그런 상혀이  러는  거지.  아인  딱리도  또디고   그냥  가던최고 있있는  였혀 른  구도 있있오오아아.
<sos>어흠해 그 정 닭에. 그래 나도 나 그게 뭐 선지 정말 잘 알아.,어떻게   그  겠츠에  그래래  나과  나  그게  내  배제  겠짜 걸어라..
<sos>더 외 거 아 나 운 근어가 분야 되는데 마음 한 촤에 곤정이 별날 말이야.,더 레텐  하다  터  근어가실바데  요 한암는  떠겠이  머드  짜이야야.
<sos>작 시에 자나만고 한 거 보면은 도뽑하는 게 작 시지 히을까? 쭈익에?,천 시   만나자고  한 거 내면면은  내끊하는  게 천시지을을해??  속랜이.
<sos>n삼은 골했에서 부 구 있는데 n삼에달 저 하는 게 있는데 보용 하는 거 같애.,든살월   권했  살 시 는데  씀살에올 또 하는 게는데 내키하는  거   같간.
<sos>내가 알기플 업였은 역우일냐 가는 걸로 알고 있는데.,보그기는   조였는  불일나  가는  잘로 좀좀좀고 있랑
<sos>그거 괜천은 생각막 거 같은데,그거   별쪽은   생각었  거   같은데
<sos>나 직터 E터,나언차   를차.
<sos>화이쩌 하만.,았이샀  하자.
<sos>그거 들데 그거 되게 시원하거든.,그거  들데   그거   으게  시음나거금.
<sos>뭐? 아니야 아니야. 아니 아니 아니야.,뭐?   아니야  아니야   아니  아니 아아니.
<sos>그래서 많은 시간을 걔랑네 보내?,그래래서  요을  시애을  난보네 내랑?
<sos>뭐 무슨 당십 트친프.,모  인외외   그때   던럼임.
<sos>그 정디 있는데,그런과  는데.
<sos>보착단.,그못.
<sos>거기 아 텔에 걍에?,거기  나 빡너  악에.
<sos>둔페단기라도.,얼스못이라도.
<sos>았 떨었바는 돈으로?,싶없 직니는는  시첫로?
<sos>또 뭐 사예?,비  뭐사.
<sos>어때?,  어때?
<sos>받제 갔바?,언제  직나?
<sos>뭐 이 정도는 할모반한테 말해도 되지 히을까 싶은 할년근이 있를아. 운 아무래도 학생이다 보니까 금전연막 할년은 그 지원을 심아야 하는 할년도 있를아.,뭐  이  겠도는  든모카한년  짜 까도 으지  장장장장을해?  화은  든트근이  있있오아.. 그그   터   설 짜래도   스생수다  내니니해   할전왜었 든트은  이그  지음을  디아야 하는  든트도  있있오아.
