targets,predictions
<sos>어 그 위리하고 위리 아니야. 위리도 아니고 깎럽 눅락 럽가페 몸십침 이렇게 조정부 정도로 하고 위리도 약간 하긴 하는데 얻근얻근.,어.  그그   파리 하고   파어리  아니야야야.  파리도  아아니고   초쁘  극취  조본격  향던큰큰  이주주게  왔겠을   겠도잖  하고   파리도   람애  하공는   하는데  한남은근
<sos>걔는 그 정익대로 가리통는 게 아니라 어 정익이 아니라 그 약간 졸팠연막 그 그런 거잖 해서 가리통를아.,난는   그   겠조너로  가리체는  게  아아니라  아   겠조이 아니다?  그그  람람애   동긴왜었  그   그런 거로  서  가입없오아.
<sos>들데 내가 자약에 날무지잖 갔다 느어. 그인면은 아 큰시 좀 주와우. 큰시 밥다 렸. 가크 좀 주와우. 가크 밥다 주면 세 좀 밥다 주와우. 이인면 나 진 진 짜평이 나거든 이게? 그리고,들데  보가 만람에  워모지진 직다고  그잖면은   아  씨시느 없문우우우.  씨랬 직다 오   본이 알  이제   가이 직다 지.  와느 관다 없지.  이잖은   나 지  를 말침이이  나 거금이랑.  그래고.
<sos>그래서 내가 거기서 남만잖 국 좋 여어봤는데 하먹똑 국 좋 다 괜천계어. 걔는 남만 한 우자한데 님님으로 여는데 잡째로니 난터 방유하고,그서 보가  거거기 서 달제진  예  번  먹어걔는데   부이여튼  예번다  별쪽적어. 난에는   달자  아니  우만 한데   워워되로   먹는는데   베째로이   봤차  유유삼하고
<sos>그 요리가 부라고 수던 그 절왜대로 진워하면은 이제 그 학교 공비 햄째스하고 그 햄째스하고 이제 부 구 있는 그런 거.,그 일리가  부라고   수바 그  살갔  너너로  를에하면은   이제   그  스르  응단 괴뭔사하고   그  욕뭔학하하고  이이제  부   구 있있있는   그런   거
<sos>들데 그건 아불데 방붙을 가도 거기가 방붙에서 런던에서 또 식고 근어가야 되고 좀 혼이고 블이 가서 양 게 없를아. 그니까,들  그건  아밥데   유손을  가도  거거기가   유손에서  만전에서   비 처쫌근어가야야  으고  터   길못고   풀이  가서  위게  렇렇오아.  그가.
<sos>그싸 그런 구학 이런 거 돼 몰라 뭐 어앉쪽 수는지 모르겠는데 관리 그니까. 그래서 해순대. 그래서 들데 이제 걔랑가 두한 애근한테 말수는데 걔랑가 이제,냥   그런  구  이런  거 은   몰라내   어떻게는데  모맞맞맞정데   딱 그니니해 그래래  문순다  그래서  들들데  이이제   난랑  가  운한었근한년  짜수는데   난랑 가   이이제
<sos>우조빼샀 찍 그 최모싸과잖 원하는 거지. 니가 한 좋 맘 하면은 내가 받 부 구가 있는데 았 안 하바. 나는 저 해 였신이 하면 내가 하겠어.,울왔왔 구우애  그그  졌인밌피진  음나는  거지지.   니가  한번  콘스하면은  보가   언  부 없정수수는데   싶싶   안 하십  회는  또  까  였신이이  하면 보가  하정어어.
<sos>았바면 이제 기빼사 사람근이 다 나도 그렇고 내 비기근은 이제 다 웃올을 하면 기빼사에서 나가야 되니까.,십면  이제  갔짝사 사약근이  다   나도  그주고  보단기근은  이제  다  즈업을 하하면  갔죠사에에서  나가야야야  으니후.
<sos>아니. 지금 이 시대에 드 했 대났이랑. 들데 엄 안 분.,아니   지할  이  시갔 가컬했  너복이랑.   들데  엄  안안  실.
